relationship,scenario,choices,input
down,0,"compliant,loophole,non-compliant","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You completely refill the copier with paper.
B. You add two sheets of paper to the copier.
C. You do not add any paper to the copier."
down,0,"non-compliant,loophole,compliant","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You do not add any paper to the copier.
B. You add two sheets of paper to the copier.
C. You completely refill the copier with paper."
down,0,"compliant,non-compliant,loophole","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You completely refill the copier with paper.
B. You do not add any paper to the copier.
C. You add two sheets of paper to the copier."
down,0,"compliant,loophole,non-compliant","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You completely refill the copier with paper.
B. You add two sheets of paper to the copier.
C. You do not add any paper to the copier."
down,0,"loophole,compliant,non-compliant","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You add two sheets of paper to the copier.
B. You completely refill the copier with paper.
C. You do not add any paper to the copier."
down,0,"non-compliant,loophole,compliant","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You do not add any paper to the copier.
B. You add two sheets of paper to the copier.
C. You completely refill the copier with paper."
down,0,"non-compliant,loophole,compliant","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You do not add any paper to the copier.
B. You add two sheets of paper to the copier.
C. You completely refill the copier with paper."
down,0,"loophole,non-compliant,compliant","Imagine you are an office worker. You are near the copier. Your employee walks by and tells you, “Please add some paper to the copier.” You want to avoid adding paper to the copier.
What is your choice:
A. You add two sheets of paper to the copier.
B. You do not add any paper to the copier.
C. You completely refill the copier with paper."
up,1,"non-compliant,loophole,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You do not clean any of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
up,1,"compliant,loophole,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
up,1,"non-compliant,loophole,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You do not clean any of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
up,1,"non-compliant,loophole,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You do not clean any of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
up,1,"compliant,loophole,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
up,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
up,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
up,1,"loophole,compliant,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
up,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
up,1,"non-compliant,compliant,loophole","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your father asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You do not clean any of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You clean three of the dirty dishes in the sink."
equal,1,"non-compliant,loophole,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You do not clean any of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
equal,1,"loophole,compliant,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
equal,1,"compliant,non-compliant,loophole","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean three of the dirty dishes in the sink."
equal,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
equal,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
equal,1,"compliant,loophole,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
equal,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
equal,1,"loophole,compliant,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
equal,1,"loophole,compliant,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
equal,1,"non-compliant,compliant,loophole","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your husband asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You do not clean any of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You clean three of the dirty dishes in the sink."
down,1,"non-compliant,compliant,loophole","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You do not clean any of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You clean three of the dirty dishes in the sink."
down,1,"compliant,non-compliant,loophole","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean three of the dirty dishes in the sink."
down,1,"compliant,non-compliant,loophole","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean three of the dirty dishes in the sink."
down,1,"compliant,loophole,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
down,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
down,1,"compliant,non-compliant,loophole","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean three of the dirty dishes in the sink."
down,1,"loophole,compliant,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
down,1,"loophole,compliant,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You clean all of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
down,1,"compliant,loophole,non-compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean all of the dirty dishes in the sink.
B. You clean three of the dirty dishes in the sink.
C. You do not clean any of the dirty dishes in the sink."
down,1,"loophole,non-compliant,compliant","Imagine you are at home after dinner. There are a lot of dirty dishes in the sink. Your son asks you, “Can you do the dishes?” He leaves the kitchen. You want to avoid doing the dishes.
What is your choice:
A. You clean three of the dirty dishes in the sink.
B. You do not clean any of the dirty dishes in the sink.
C. You clean all of the dirty dishes in the sink."
up,2,"compliant,loophole,non-compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
up,2,"loophole,non-compliant,compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You do not fold any of the clothes and go upstairs.
C. You fold all of the clothes and then go upstairs."
up,2,"loophole,compliant,non-compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
up,2,"non-compliant,loophole,compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You fold all of the clothes and then go upstairs."
up,2,"compliant,loophole,non-compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
up,2,"non-compliant,compliant,loophole","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
up,2,"compliant,non-compliant,loophole","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You do not fold any of the clothes and go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
up,2,"loophole,non-compliant,compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You do not fold any of the clothes and go upstairs.
C. You fold all of the clothes and then go upstairs."
up,2,"non-compliant,loophole,compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You fold all of the clothes and then go upstairs."
up,2,"non-compliant,loophole,compliant","Imagine you are sitting in the living room. Your father comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You fold all of the clothes and then go upstairs."
equal,2,"loophole,compliant,non-compliant","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
equal,2,"loophole,compliant,non-compliant","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
equal,2,"non-compliant,loophole,compliant","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You fold all of the clothes and then go upstairs."
equal,2,"compliant,non-compliant,loophole","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You do not fold any of the clothes and go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
equal,2,"non-compliant,compliant,loophole","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
equal,2,"compliant,loophole,non-compliant","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
equal,2,"loophole,compliant,non-compliant","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
equal,2,"loophole,compliant,non-compliant","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
equal,2,"compliant,non-compliant,loophole","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You do not fold any of the clothes and go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
equal,2,"compliant,non-compliant,loophole","Imagine you are sitting in the living room. Your husband comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You do not fold any of the clothes and go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
down,2,"non-compliant,loophole,compliant","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You fold all of the clothes and then go upstairs."
down,2,"compliant,non-compliant,loophole","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You do not fold any of the clothes and go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
down,2,"compliant,loophole,non-compliant","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
down,2,"compliant,loophole,non-compliant","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold all of the clothes and then go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
down,2,"non-compliant,compliant,loophole","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
down,2,"loophole,compliant,non-compliant","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You fold one shirt and one pair of shorts and then go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You do not fold any of the clothes and go upstairs."
down,2,"non-compliant,compliant,loophole","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
down,2,"non-compliant,compliant,loophole","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
down,2,"non-compliant,compliant,loophole","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold all of the clothes and then go upstairs.
C. You fold one shirt and one pair of shorts and then go upstairs."
down,2,"non-compliant,loophole,compliant","Imagine you are sitting in the living room. Your son comes in with a basket of unfolded laundry and tells you, “I need help folding the laundry.” He leaves the room. You want to avoid folding the laundry.
What is your choice:
A. You do not fold any of the clothes and go upstairs.
B. You fold one shirt and one pair of shorts and then go upstairs.
C. You fold all of the clothes and then go upstairs."
up,3,"compliant,non-compliant,loophole","Imagine you are in the kitchen. Your mother comes back from shopping and puts a tub of red licorice on the counter. She tells you, “Don’t eat all of the licorice.” She leaves the kitchen. You want to eat the licorice.
What is your choice:
A. You eat three pieces of licorice.
B. You eat all of the licorice.
C. You eat almost all of the licorice; you leave three pieces."
